URL,Title,Author,Number of Ratings,Number of Reviews,Average Ratings,Number of Pages,Published Year,Series,Genres,Awards,Places
"https://www.goodreads.com/book/show/267869.Silent_in_the_Grave""","Silent in the Grave (Lady Julia Grey, #1)",L.J. Smith,22160,2340.0,3.9,509.0,2007,1.0,"['Mystery', 'Historical Fiction', 'Historical']","['RITA Award by Romance Writers of America for Best Novel with Strong Romantic Elements & Nominee for First Book (2008)', 'Dilys Award Nominee (2008)', 'Agatha Award Nominee for Best First Novel (2007)']","[['London, England,\n1886', '(United Kingdom)']]"
"https://www.goodreads.com/book/show/15975.Blonde""",Blonde,Laurie Halse Anderson,10052,991.0,,1110.0,2002,0.0,"['Fiction', 'Historical Fiction', 'Historical']","['Pulitzer Prize Nominee for Fiction (2001)', 'National Book Award Finalist for Fiction (2000)']",
"https://www.goodreads.com/book/show/59263.The_Golem_s_Eye""","The Golem's Eye (Bartimaeus, #2)",Deanna Raybourn,89950,2081.0,4.0,562.0,2006,1.0,"['Fantasy', 'Young Adult', 'Fiction']","[""Mythopoeic Fantasy Award for Children's Literature (2006)""]",[['United Kingdom']]
"https://www.goodreads.com/book/show/22121.Imperial_Life_in_the_Emerald_City""",Imperial Life in the Emerald City: Inside Iraq's Green Zone,Joyce Carol Oates,5784,623.0,4.0,320.0,2006,0.0,"['History', 'Nonfiction', 'Politics']","['Guardian First Book Award Nominee (2007)', 'Ridenhour Book Prize (2007)', 'Samuel Johnson Prize for Non-Fiction (2007)', 'Cornelius Ryan Award (2006)', 'National Book Award Finalist for Nonfiction (2006)']",
"https://www.goodreads.com/book/show/36086.The_Ghost_Map""","The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science, Cities, and the Modern World",Jonathan Stroud,45778,4029.0,3.8,299.0,2006,0.0,"['History', 'Nonfiction', 'Science']",[],
"https://www.goodreads.com/book/show/9542.Cast_in_Shadow""","Cast in Shadow (Chronicles of Elantra, #1)",Rajiv Chandrasekaran,16341,1032.0,3.7,507.0,2005,1.0,"['Fantasy', 'Urban Fantasy', 'Magic']",[],
"https://www.goodreads.com/book/show/6858.Hot_Six""","Hot Six (Stephanie Plum, #6)",Steven Johnson,120802,2471.0,4.1,336.0,2001,1.0,"['Mystery', 'Fiction', 'Humor']","['Dilys Award Nominee (2001)', 'Puddly Award for Mystery (2001)']","[['Trenton, New Jersey', '(United States)']]"
"https://www.goodreads.com/book/show/7661.Next""",Next,Michelle Sagara,69632,3212.0,3.5,431.0,2006,0.0,"['Fiction', 'Science Fiction', 'Thriller']",[],
"https://www.goodreads.com/book/show/101334.Remainder""",Remainder,Janet Evanovich,6657,889.0,3.6,308.0,2007,0.0,"['Fiction', 'Novels', 'Literature']",['Believer Book Award (2007)'],
"https://www.goodreads.com/book/show/6262365-tempted""","Tempted (House of Night, #6)",Michael Crichton,156809,3429.0,3.9,319.0,2009,1.0,"['Young Adult', 'Vampires', 'Fantasy']","[""Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2009)""]","[['United States of America', 'Tulsa, Oklahoma', '(United States)']]"
